z_value,k_value,sep
860731192,217,84898
860709809,217,21383
860668534,217,41275
860663723,217,4811
860652822,217,10901
860615339,217,37483
860557042,217,58297
860483435,217,73607
860429856,217,53579
860410255,217,19601
860392275,217,17980
860266882,217,125393
860266728,217,154
860257159,217,9569
860249903,217,7256
860247952,217,1951
860246099,217,1853
860232690,217,13409
860229937,217,2753
860194119,217,35818
860180934,217,13185
860173969,217,6965
860163027,217,10942
860147351,217,15676
860142638,217,4713
860141208,217,1430
860131890,217,9318
860122497,217,9393
860122347,217,150
860103228,217,19119
860100734,217,2494
860092310,217,8424
860086694,217,5616
860081632,217,5062
860081418,217,214
860080386,217,1032
860069678,217,10708
859978238,217,91440
859975918,217,2320
859941889,217,34029
859868185,217,73704
859856273,217,11912
859855047,217,1226
859813798,217,41249
859802945,217,10853
859799549,217,3396
859769405,217,30144
859735947,217,33458
859735352,217,595
859731106,217,4246
859722793,217,8313
859662918,217,59875
859654943,217,7975
859646546,217,8397
859634935,217,11611
859618424,217,16511
859612561,217,5863
859588868,217,23693
859571472,217,17396
859518574,217,52898
859475646,217,42928
859456312,217,19334
859442215,217,14097
859437594,217,4621
859432044,217,5550
859426076,217,5968
859424691,217,1385
859420771,217,3920
859413744,217,7027
859407542,217,6202
859395265,217,12277
859375313,217,19952
859372419,217,2894
859359670,217,12749
859119874,217,239796
859112778,217,7096
859094195,217,18583
859081014,217,13181
858783783,217,297231
858756370,217,27413
858744296,217,12074
858731877,217,12419
858726593,217,5284
858723948,217,2645
858695334,217,28614
858690508,217,4826
858628620,217,61888
858618904,217,9716
858463249,217,155655
858455175,217,8074
858423041,217,32134
858404920,217,18121
858399265,217,5655
858390578,217,8687
858359661,217,30917
858352438,217,7223
858325393,217,27045
858325269,217,124
858321222,217,4047
858320418,217,804
858319153,217,1265
858314095,217,5058
858310822,217,3273
858291617,217,19205
858288940,217,2677
858278123,217,10817
858106242,217,171881
858089326,217,16916
858054896,217,34430
858051793,217,3103
858040035,217,11758
858027823,217,12212
857993376,217,34447
857949105,217,44271
857936594,217,12511
857922275,217,14319
857659613,217,262662
857623974,217,35639
857600791,217,23183
857592381,217,8410
857586036,217,6345
857574597,217,11439
857407432,217,167165
857384876,217,22556
857381139,217,3737
857359928,217,21211
857164233,217,195695
857132111,217,32122
857128597,217,3514
857110933,217,17664
857067383,217,43550
856979417,217,87966
856977801,217,1616
856975945,217,1856
856973020,217,2925
856918670,217,54350
856899300,217,19370
856872930,217,26370
856869275,217,3655
856867718,217,1557
856865843,217,1875
856850205,217,15638
856839627,217,10578
856837070,217,2557
856831774,217,5296
856831187,217,587
856829050,217,2137
856827744,217,1306
856746642,217,81102
856740133,217,6509
856679468,217,60665
856676694,217,2774
856639395,217,37299
856632133,217,7262
856543246,217,88887
856537460,217,5786
856529193,217,8267
856527811,217,1382
856504077,217,23734
856489665,217,14412
856464074,217,25591
856452564,217,11510
856443362,217,9202
856432404,217,10958
856416470,217,15934
856416463,217,7
856399195,217,17268
856395212,217,3983
856381700,217,13512
856365955,217,15745
856364549,217,1406
856357589,217,6960
856339920,217,17669
856272910,217,67010
856268931,217,3979
856268680,217,251
856261934,217,6746
856255500,217,6434
856235337,217,20163
856194977,217,40360
856145866,217,49111
856142300,217,3566
856117724,217,24576
856117085,217,639
856116784,217,301
856114412,217,2372
856114126,217,286
856092716,217,21410
856082836,217,9880
856077841,217,4995
856008218,217,69623
855991219,217,16999
855938771,217,52448
855933853,217,4918
855932496,217,1357
855895894,217,36602
855872413,217,23481
855807293,217,65120
855523300,217,283993
855499305,217,23995
855476044,217,23261
855463603,217,12441
855027289,217,436314
854979388,217,47901
854977824,217,1564
854973625,217,4199
854962679,217,10946
854960418,217,2261
854952021,217,8397
854912218,217,39803
854867149,217,45069
854865973,217,1176
854862145,217,3828
854775345,217,86800
854703116,217,72229
854686949,217,16167
854649844,217,37105
854624433,217,25411
854594302,217,30131
854585627,217,8675
854459762,217,125865
854404594,217,55168
853910737,217,493857
853867276,217,43461
853820185,217,47091
853814061,217,6124
853806076,217,7985
853619726,217,186350
853581317,217,38409
853559963,217,21354
853499695,217,60268
853478218,217,21477
853459507,217,18711
853457186,217,2321
853455413,217,1773
853452595,217,2818
853438037,217,14558
852680742,217,757295
852318247,217,362495
852283665,217,34582
852246984,217,36681
852231072,217,15912
852228436,217,2636
852176793,217,51643
852170283,217,6510
852103203,217,67080
852101089,217,2114
852043630,217,57459
852022561,217,21069
852016633,217,5928
852014003,217,2630
851995947,217,18056
851946796,217,49151
851944686,217,2110
851942580,217,2106
851941008,217,1572
851847724,217,93284
851820881,217,26843
851817391,217,3490
851767069,217,50322
851754050,217,13019
851748994,217,5056
851735112,217,13882
851729863,217,5249
851727532,217,2331
851714261,217,13271
851711642,217,2619
851709608,217,2034
851698007,217,11601
851697261,217,746
851695244,217,2017
851691997,217,3247
851686472,217,5525
851674546,217,11926
851665940,217,8606
851654077,217,11863
851653301,217,776
851625411,217,27890
851599233,217,26178
851589783,217,9450
851587021,217,2762
851585780,217,1241
851564370,217,21410
851533583,217,30787
851521434,217,12149
851496197,217,25237
851487758,217,8439
851400240,217,87518
851388742,217,11498
851356925,217,31817
851327751,217,29174
851325648,217,2103
851319080,217,6568
851311117,217,7963
851303154,217,7963
851282736,217,20418
851275889,217,6847
851245723,217,30166
851236739,217,8984
851215016,217,21723
851196980,217,18036
851193797,217,3183
851036271,217,157526
851029415,217,6856
850674811,217,354604
850585679,217,89132
850560420,217,25259
850555350,217,5070
850554919,217,431
850543844,217,11075
850498143,217,45701
849158539,217,1339604
849141910,217,16629
848996908,217,145002
848993691,217,3217
848870702,217,122989
848802084,217,68618
848771024,217,31060
848679347,217,91677
848611437,217,67910
848606525,217,4912
848600273,217,6252
848599062,217,1211
848482278,217,116784
848482221,217,57
848469481,217,12740
848462015,217,7466
848455711,217,6304
848381070,217,74641
848314119,217,66951
848296417,217,17702
848288336,217,8081
848284088,217,4248
848249763,217,34325
848232435,217,17328
848231846,217,589
848194486,217,37360
848185635,217,8851
848167688,217,17947
848166676,217,1012
848159291,217,7385
848147581,217,11710
848136013,217,11568
848135270,217,743
848120763,217,14507
848082622,217,38141
848063822,217,18800
848059796,217,4026
848057062,217,2734
847964861,217,92201
847953396,217,11465
847826552,217,126844
847821309,217,5243
847674668,217,146641
847668375,217,6293
847631395,217,36980
847518700,217,112695
847508420,217,10280
847493480,217,14940
847486445,217,7035
847421940,217,64505
847399971,217,21969
847230255,217,169716
847203641,217,26614
847199361,217,4280
847038239,217,161122
846960198,217,78041
846943727,217,16471
846938535,217,5192
846919333,217,19202
846907486,217,11847
846886385,217,21101
846844281,217,42104
846808840,217,35441
846731308,217,77532
846727004,217,4304
846705205,217,21799
846702112,217,3093
846693533,217,8579
846668471,217,25062
846665373,217,3098
846643180,217,22193
846523077,217,120103
846521356,217,1721
846516314,217,5042
846433212,217,83102
846421166,217,12046
846324983,217,96183
846271649,217,53334
846262072,217,9577
846162156,217,99916
846141246,217,20910
846125869,217,15377
846115310,217,10559
846114030,217,1280
846112093,217,1937
846095591,217,16502
846077236,217,18355
846065935,217,11301
846063995,217,1940
846054385,217,9610
846038860,217,15525
846000271,217,38589
845987187,217,13084
845984611,217,2576
845981495,217,3116
845974925,217,6570
845973290,217,1635
845958456,217,14834
845953887,217,4569
845949544,217,4343
845948291,217,1253
845941849,217,6442
845940455,217,1394
845940064,217,391
845922628,217,17436
845915914,217,6714
845898923,217,16991
845888328,217,10595
845867588,217,20740
845866269,217,1319
845864156,217,2113
845862404,217,1752
845804690,217,57714
845730216,217,74474
845728306,217,1910
845719919,217,8387
845715459,217,4460
845709127,217,6332
845702665,217,6462
845690207,217,12458
845687257,217,2950
845610995,217,76262
845588400,217,22595
845550183,217,38217
845545315,217,4868
845489621,217,55694
845422650,217,66971
845360843,217,61807
845344948,217,15895
845241054,217,103894
845231960,217,9094
845182726,217,49234
845181570,217,1156
845172281,217,9289
845040350,217,131931
844868960,217,171390
844813113,217,55847
844810165,217,2948
844632617,217,177548
844579311,217,53306
844565074,217,14237
844497429,217,67645
844474787,217,22642
844442170,217,32617
844441723,217,447
844439677,217,2046
844434696,217,4981
844387437,217,47259
844376448,217,10989
844373322,217,3126
844336133,217,37189
844334723,217,1410
844327160,217,7563
844299632,217,27528
844296163,217,3469
844282932,217,13231
844282468,217,464
844278985,217,3483
844275816,217,3169
844270933,217,4883
844260115,217,10818
844255980,217,4135
844242537,217,13443
844231602,217,10935
844199639,217,31963
844197684,217,1955
844194561,217,3123
844189712,217,4849
844186890,217,2822
844186526,217,364
844183920,217,2606
844178262,217,5658
844149593,217,28669
844141173,217,8420
844136639,217,4534
