original_number,capture_iteration,capture_state,capture_number
845,13,ODD,269
845,14,EVEN,808
845,15,EVEN,404
845,16,EVEN,202
845,17,ODD,101
845,18,EVEN,304
845,19,EVEN,152
845,20,EVEN,76
845,21,EVEN,38
845,22,ODD,19
845,23,EVEN,58
845,24,ODD,29
845,25,EVEN,88
845,26,EVEN,44
845,27,EVEN,22
845,28,ODD,11
845,29,EVEN,34
845,30,ODD,17
845,31,EVEN,52
845,32,EVEN,26
845,33,ODD,13
845,34,EVEN,40
845,35,EVEN,20
845,36,EVEN,10
845,37,ODD,5
845,38,EVEN,16
845,39,EVEN,8
845,40,EVEN,4
845,41,EVEN,2
845,42,END,1
979,1,ODD,979
979,2,EVEN,2938
979,3,ODD,1469
979,4,EVEN,4408
979,5,EVEN,2204
979,6,EVEN,1102
979,7,ODD,551
979,8,EVEN,1654
979,9,ODD,827
979,10,EVEN,2482
979,11,ODD,1241
979,12,EVEN,3724
979,13,EVEN,1862
979,14,ODD,931
979,15,EVEN,2794
979,16,ODD,1397
979,17,EVEN,4192
979,18,EVEN,2096
979,19,EVEN,1048
979,20,EVEN,524
979,21,EVEN,262
979,22,ODD,131
979,23,EVEN,394
979,24,ODD,197
979,25,EVEN,592
979,26,EVEN,296
979,27,EVEN,148
979,28,EVEN,74
979,29,ODD,37
979,30,EVEN,112
979,31,EVEN,56
979,32,EVEN,28
979,33,EVEN,14
979,34,ODD,7
979,35,EVEN,22
979,36,ODD,11
979,37,EVEN,34
979,38,ODD,17
979,39,EVEN,52
979,40,EVEN,26
979,41,ODD,13
979,42,EVEN,40
979,43,EVEN,20
979,44,EVEN,10
979,45,ODD,5
979,46,EVEN,16
979,47,EVEN,8
979,48,EVEN,4
979,49,EVEN,2
979,50,END,1
321,1,ODD,321
321,2,EVEN,964
321,3,EVEN,482
321,4,ODD,241
321,5,EVEN,724
321,6,EVEN,362
321,7,ODD,181
321,8,EVEN,544
321,9,EVEN,272
321,10,EVEN,136
321,11,EVEN,68
321,12,EVEN,34
321,13,ODD,17
321,14,EVEN,52
321,15,EVEN,26
321,16,ODD,13
321,17,EVEN,40
321,18,EVEN,20
321,19,EVEN,10
321,20,ODD,5
321,21,EVEN,16
321,22,EVEN,8
321,23,EVEN,4
321,24,EVEN,2
321,25,END,1
911,1,ODD,911
911,2,EVEN,2734
911,3,ODD,1367
911,4,EVEN,4102
911,5,ODD,2051
911,6,EVEN,6154
911,7,ODD,3077
911,8,EVEN,9232
911,9,EVEN,4616
911,10,EVEN,2308
911,11,EVEN,1154
911,12,ODD,577
911,13,EVEN,1732
911,14,EVEN,866
911,15,ODD,433
911,16,EVEN,1300
911,17,EVEN,650
911,18,ODD,325
911,19,EVEN,976
911,20,EVEN,488
911,21,EVEN,244
911,22,EVEN,122
911,23,ODD,61
911,24,EVEN,184
911,25,EVEN,92
911,26,EVEN,46
911,27,ODD,23
911,28,EVEN,70
911,29,ODD,35
911,30,EVEN,106
911,31,ODD,53
911,32,EVEN,160
911,33,EVEN,80
911,34,EVEN,40
911,35,EVEN,20
911,36,EVEN,10
911,37,ODD,5
911,38,EVEN,16
911,39,EVEN,8
911,40,EVEN,4
911,41,EVEN,2
911,42,END,1
625,1,ODD,625
625,2,EVEN,1876
625,3,EVEN,938
625,4,ODD,469
625,5,EVEN,1408
625,6,EVEN,704
625,7,EVEN,352
625,8,EVEN,176
625,9,EVEN,88
625,10,EVEN,44
625,11,EVEN,22
625,12,ODD,11
625,13,EVEN,34
625,14,ODD,17
625,15,EVEN,52
625,16,EVEN,26
625,17,ODD,13
625,18,EVEN,40
625,19,EVEN,20
625,20,EVEN,10
625,21,ODD,5
625,22,EVEN,16
625,23,EVEN,8
625,24,EVEN,4
625,25,EVEN,2
625,26,END,1
653,1,ODD,653
653,2,EVEN,1960
653,3,EVEN,980
653,4,EVEN,490
653,5,ODD,245
653,6,EVEN,736
653,7,EVEN,368
653,8,EVEN,184
653,9,EVEN,92
653,10,EVEN,46
653,11,ODD,23
653,12,EVEN,70
653,13,ODD,35
653,14,EVEN,106
653,15,ODD,53
653,16,EVEN,160
653,17,EVEN,80
653,18,EVEN,40
653,19,EVEN,20
653,20,EVEN,10
653,21,ODD,5
653,22,EVEN,16
653,23,EVEN,8
653,24,EVEN,4
653,25,EVEN,2
653,26,END,1
953,1,ODD,953
953,2,EVEN,2860
953,3,EVEN,1430
953,4,ODD,715
953,5,EVEN,2146
953,6,ODD,1073
953,7,EVEN,3220
953,8,EVEN,1610
953,9,ODD,805
953,10,EVEN,2416
953,11,EVEN,1208
953,12,EVEN,604
953,13,EVEN,302
953,14,ODD,151
953,15,EVEN,454
953,16,ODD,227
953,17,EVEN,682
953,18,ODD,341
953,19,EVEN,1024
953,20,EVEN,512
953,21,EVEN,256
953,22,EVEN,128
953,23,EVEN,64
953,24,EVEN,32
953,25,EVEN,16
953,26,EVEN,8
953,27,EVEN,4
953,28,EVEN,2
953,29,END,1
423,1,ODD,423
423,2,EVEN,1270
423,3,ODD,635
423,4,EVEN,1906
423,5,ODD,953
423,6,EVEN,2860
423,7,EVEN,1430
423,8,ODD,715
423,9,EVEN,2146
423,10,ODD,1073
423,11,EVEN,3220
423,12,EVEN,1610
423,13,ODD,805
423,14,EVEN,2416
423,15,EVEN,1208
423,16,EVEN,604
423,17,EVEN,302
423,18,ODD,151
423,19,EVEN,454
423,20,ODD,227
423,21,EVEN,682
423,22,ODD,341
423,23,EVEN,1024
423,24,EVEN,512
423,25,EVEN,256
423,26,EVEN,128
423,27,EVEN,64
423,28,EVEN,32
423,29,EVEN,16
423,30,EVEN,8
423,31,EVEN,4
423,32,EVEN,2
423,33,END,1
749,1,ODD,749
749,2,EVEN,2248
749,3,EVEN,1124
749,4,EVEN,562
749,5,ODD,281
749,6,EVEN,844
749,7,EVEN,422
749,8,ODD,211
749,9,EVEN,634
749,10,ODD,317
749,11,EVEN,952
749,12,EVEN,476
749,13,EVEN,238
749,14,ODD,119
749,15,EVEN,358
749,16,ODD,179
749,17,EVEN,538
749,18,ODD,269
749,19,EVEN,808
749,20,EVEN,404
749,21,EVEN,202
749,22,ODD,101
749,23,EVEN,304
749,24,EVEN,152
749,25,EVEN,76
749,26,EVEN,38
749,27,ODD,19
749,28,EVEN,58
749,29,ODD,29
749,30,EVEN,88
749,31,EVEN,44
749,32,EVEN,22
749,33,ODD,11
749,34,EVEN,34
749,35,ODD,17
749,36,EVEN,52
749,37,EVEN,26
749,38,ODD,13
749,39,EVEN,40
749,40,EVEN,20
749,41,EVEN,10
749,42,ODD,5
749,43,EVEN,16
749,44,EVEN,8
749,45,EVEN,4
749,46,EVEN,2
749,47,END,1
145,1,ODD,145
145,2,EVEN,436
145,3,EVEN,218
145,4,ODD,109
145,5,EVEN,328
145,6,EVEN,164
145,7,EVEN,82
145,8,ODD,41
145,9,EVEN,124
145,10,EVEN,62
145,11,ODD,31
145,12,EVEN,94
145,13,ODD,47
145,14,EVEN,142
145,15,ODD,71
145,16,EVEN,214
145,17,ODD,107
145,18,EVEN,322
145,19,ODD,161
145,20,EVEN,484
145,21,EVEN,242
145,22,ODD,121
145,23,EVEN,364
145,24,EVEN,182
145,25,ODD,91
145,26,EVEN,274
145,27,ODD,137
145,28,EVEN,412
145,29,EVEN,206
145,30,ODD,103
145,31,EVEN,310
145,32,ODD,155
145,33,EVEN,466
145,34,ODD,233
145,35,EVEN,700
145,36,EVEN,350
145,37,ODD,175
145,38,EVEN,526
145,39,ODD,263
145,40,EVEN,790
145,41,ODD,395
145,42,EVEN,1186
145,43,ODD,593
145,44,EVEN,1780
145,45,EVEN,890
145,46,ODD,445
145,47,EVEN,1336
145,48,EVEN,668
145,49,EVEN,334
145,50,ODD,167
145,51,EVEN,502
145,52,ODD,251
145,53,EVEN,754
145,54,ODD,377
145,55,EVEN,1132
145,56,EVEN,566
145,57,ODD,283
145,58,EVEN,850
145,59,ODD,425
145,60,EVEN,1276
145,61,EVEN,638
145,62,ODD,319
145,63,EVEN,958
145,64,ODD,479
145,65,EVEN,1438
145,66,ODD,719
145,67,EVEN,2158
145,68,ODD,1079
145,69,EVEN,3238
145,70,ODD,1619
145,71,EVEN,4858
145,72,ODD,2429
145,73,EVEN,7288
145,74,EVEN,3644
145,75,EVEN,1822
145,76,ODD,911
145,77,EVEN,2734
145,78,ODD,1367
145,79,EVEN,4102
145,80,ODD,2051
145,81,EVEN,6154
145,82,ODD,3077
145,83,EVEN,9232
145,84,EVEN,4616
145,85,EVEN,2308
145,86,EVEN,1154
145,87,ODD,577
145,88,EVEN,1732
145,89,EVEN,866
145,90,ODD,433
145,91,EVEN,1300
145,92,EVEN,650
145,93,ODD,325
145,94,EVEN,976
145,95,EVEN,488
145,96,EVEN,244
145,97,EVEN,122
145,98,ODD,61
145,99,EVEN,184
145,100,EVEN,92
145,101,EVEN,46
145,102,ODD,23
145,103,EVEN,70
145,104,ODD,35
145,105,EVEN,106
145,106,ODD,53
145,107,EVEN,160
145,108,EVEN,80
145,109,EVEN,40
145,110,EVEN,20
145,111,EVEN,10
145,112,ODD,5
145,113,EVEN,16
145,114,EVEN,8
145,115,EVEN,4
145,116,EVEN,2
145,117,END,1
309,1,ODD,309
309,2,EVEN,928
309,3,EVEN,464
309,4,EVEN,232
309,5,EVEN,116
309,6,EVEN,58
309,7,ODD,29
309,8,EVEN,88
309,9,EVEN,44
309,10,EVEN,22
309,11,ODD,11
309,12,EVEN,34
309,13,ODD,17
309,14,EVEN,52
309,15,EVEN,26
309,16,ODD,13
309,17,EVEN,40
309,18,EVEN,20
309,19,EVEN,10
309,20,ODD,5
309,21,EVEN,16
309,22,EVEN,8
309,23,EVEN,4
309,24,EVEN,2
309,25,END,1
465,1,ODD,465
465,2,EVEN,1396
465,3,EVEN,698
465,4,ODD,349
465,5,EVEN,1048
465,6,EVEN,524
465,7,EVEN,262
465,8,ODD,131
465,9,EVEN,394
465,10,ODD,197
465,11,EVEN,592
465,12,EVEN,296
465,13,EVEN,148
465,14,EVEN,74
465,15,ODD,37
465,16,EVEN,112
465,17,EVEN,56
465,18,EVEN,28
465,19,EVEN,14
465,20,ODD,7
465,21,EVEN,22
465,22,ODD,11
465,23,EVEN,34
465,24,ODD,17
465,25,EVEN,52
465,26,EVEN,26
465,27,ODD,13
465,28,EVEN,40
465,29,EVEN,20
465,30,EVEN,10
465,31,ODD,5
465,32,EVEN,16
465,33,EVEN,8
465,34,EVEN,4
465,35,EVEN,2
465,36,END,1
969,1,ODD,969
969,2,EVEN,2908
969,3,EVEN,1454
969,4,ODD,727
969,5,EVEN,2182
969,6,ODD,1091
969,7,EVEN,3274
969,8,ODD,1637
969,9,EVEN,4912
969,10,EVEN,2456
969,11,EVEN,1228
969,12,EVEN,614
969,13,ODD,307
969,14,EVEN,922
969,15,ODD,461
969,16,EVEN,1384
969,17,EVEN,692
969,18,EVEN,346
969,19,ODD,173
969,20,EVEN,520
969,21,EVEN,260
969,22,EVEN,130
969,23,ODD,65
969,24,EVEN,196
969,25,EVEN,98
969,26,ODD,49
969,27,EVEN,148
969,28,EVEN,74
969,29,ODD,37
969,30,EVEN,112
969,31,EVEN,56
969,32,EVEN,28
969,33,EVEN,14
969,34,ODD,7
969,35,EVEN,22
969,36,ODD,11
969,37,EVEN,34
969,38,ODD,17
969,39,EVEN,52
969,40,EVEN,26
969,41,ODD,13
969,42,EVEN,40
969,43,EVEN,20
969,44,EVEN,10
969,45,ODD,5
969,46,EVEN,16
969,47,EVEN,8
969,48,EVEN,4
969,49,EVEN,2
969,50,END,1
473,1,ODD,473
473,2,EVEN,1420
473,3,EVEN,710
473,4,ODD,355
473,5,EVEN,1066
473,6,ODD,533
473,7,EVEN,1600
473,8,EVEN,800
473,9,EVEN,400
473,10,EVEN,200
473,11,EVEN,100
473,12,EVEN,50
473,13,ODD,25
473,14,EVEN,76
473,15,EVEN,38
473,16,ODD,19
473,17,EVEN,58
473,18,ODD,29
473,19,EVEN,88
473,20,EVEN,44
473,21,EVEN,22
473,22,ODD,11
473,23,EVEN,34
473,24,ODD,17
473,25,EVEN,52
473,26,EVEN,26
473,27,ODD,13
473,28,EVEN,40
473,29,EVEN,20
473,30,EVEN,10
473,31,ODD,5
473,32,EVEN,16
473,33,EVEN,8
473,34,EVEN,4
473,35,EVEN,2
473,36,END,1
899,1,ODD,899
899,2,EVEN,2698
899,3,ODD,1349
899,4,EVEN,4048
899,5,EVEN,2024
899,6,EVEN,1012
